# Title : Global Land and Ocean Average Temperature Departures
# Unit  : Degrees Celsius                              
# Base period: 1901-2000                              
Year;Month;Anom
  2018;     10; 1.00                   
  2018;     11; 0.84                                           
  2018;     12; 0.95                                           
  2019;      1; 0.94                                           
  2019;      2; 0.92                                           
  2019;      3; 1.16                                           
  2019;      4; 1.04                                           
  2019;      5; 0.92                                           
  2019;      6; 0.91                                           
  2019;      7; 0.92                                           
  2019;      8; 0.94                                           
  2019;      9; 0.95                                           
  2019;     10; 1.04                                           
  2019;     11; 1.00                   
  2019;     12; 1.14                                           
  2020;      1; 1.17                                           
  2020;      2; 1.21                                           
  2020;      3; 1.13                                           
  2020;      4; 1.13                                           
  2020;      5; 1.01                                           
  2020;      6; 0.94                                           
  2020;      7; 0.9                                            
  2020;      8; 0.9                                            
  2020;      9; 0.99                                           
  2020;     10; 0.9                                            
  2020;     11; 1.07                                           
  2020;     12; 0.82                                           
  2021;      1; 0.83                                           
  2021;      2; 0.65                                           
  2021;      3; 0.89                                           
  2021;      4; 0.8                                            
  2021;      5; 0.82                                           
  2021;      6; 0.84                                           
  2021;      7; 0.89                                           
  2021;      8; 0.87                                           
  2021;      9; 0.93                                           
  2021;     10; 0.98                                           
  2021;     11; 0.93                                           
  2021;     12; 0.88                                           
  2022;      1; 0.92                                           
  2022;      2; 0.9                                            
  2022;      3; 1.07                                           
  2022;      4; 0.88                                           
  2022;      5; 0.82                                           
  2022;      6; 0.92                                           
  2022;      7; 0.9                                            
  2022;      8; 0.91                                           
  2022;      9; 0.87                                           
  2022;     10; 0.96                                           
  2022;     11; 0.76                                           
  2022;     12; 0.83                                           
  2023;      1; 0.89                                           
  2023;      2; 1.01                                           
  2023;      3; 1.23                                           
  2023;      4; 0.99                                           
  2023;      5; 0.96                                           
  2023;      6; 1.06                                           
  2023;      7; 1.16                                           
  2023;      8; 1.25                                           
  2023;      9; 1.4                                            
  2023;     10; 1.35                                           
  2023;     11; 1.4                                            
  2023;     12; 1.36                                           
  2024;      1; 1.3                                            
  2024;      2; 1.4                                            
  2024;      3; 1.31                                           
  2024;      4; 1.26                                           
  2024;      5; 1.15                                           
  2024;      6; 1.18                                           
  2024;      7; 1.18                                           
  2024;      8; 1.24                                           
  2024;      9; 1.22                                           
  2024;     10; 1.31                                           
  2024;     11; 1.3                                            
  2024;     12; 1.26                                           
